,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,203083,0021801223,"APR 10, 2019",DET @ NYK,W,28,10,15,0.667,0,0,0.0,0,1,0.0,5,13,18,3,2,0,5,4,20,26,1
1,22018,203083,0021801210,"APR 09, 2019",DET vs. MEM,W,38,6,11,0.545,0,0,0.0,8,12,0.667,7,10,17,1,5,3,3,5,20,17,1
2,22018,203083,0021801198,"APR 07, 2019",DET vs. CHA,L,42,6,12,0.5,0,0,0.0,3,4,0.75,9,14,23,1,0,3,0,3,15,-10,1
3,22018,203083,0021801186,"APR 05, 2019",DET @ OKC,L,27,2,3,0.667,0,0,0.0,0,2,0.0,2,7,9,0,1,5,5,3,4,-6,1
4,22018,203083,0021801165,"APR 03, 2019",DET vs. IND,L,43,11,16,0.688,0,0,0.0,6,11,0.545,6,13,19,3,3,3,4,5,28,-12,1
5,22018,203083,0021801152,"APR 01, 2019",DET @ IND,L,37,8,18,0.444,0,1,0.0,2,5,0.4,7,10,17,5,4,0,3,4,18,-10,1
6,22018,203083,0021801139,"MAR 30, 2019",DET vs. POR,W,38,9,13,0.692,0,0,0.0,4,6,0.667,3,16,19,4,4,3,3,4,22,14,1
7,22018,203083,0021801122,"MAR 28, 2019",DET vs. ORL,W,38,9,10,0.9,0,0,0.0,0,3,0.0,7,11,18,4,1,6,3,3,18,21,1
8,22018,203083,0021801115,"MAR 26, 2019",DET @ DEN,L,29,5,15,0.333,0,0,0.0,3,5,0.6,7,10,17,3,2,2,1,6,13,11,1
9,22018,203083,0021801101,"MAR 24, 2019",DET @ GSW,L,34,4,9,0.444,0,0,0.0,4,4,1.0,5,6,11,2,2,0,3,1,12,-14,1
10,22018,203083,0021801093,"MAR 23, 2019",DET @ POR,L,39,6,11,0.545,0,0,0.0,7,7,1.0,4,7,11,1,1,1,0,4,19,4,1
11,22018,203083,0021801077,"MAR 21, 2019",DET @ PHX,W,32,7,18,0.389,0,0,0.0,2,3,0.667,11,8,19,1,3,1,1,4,16,12,1
12,22018,203083,0021801050,"MAR 18, 2019",DET @ CLE,L,38,9,20,0.45,0,0,0.0,3,6,0.5,9,12,21,5,2,1,1,2,21,2,1
13,22018,203083,0021801044,"MAR 17, 2019",DET vs. TOR,W,33,5,8,0.625,0,0,0.0,5,5,1.0,4,13,17,1,2,0,1,2,15,-7,2
14,22018,203083,0021801026,"MAR 15, 2019",DET vs. LAL,W,37,8,15,0.533,0,0,0.0,3,6,0.5,11,12,23,0,0,2,0,1,19,25,1
15,22018,203083,0021801014,"MAR 13, 2019",DET @ MIA,L,24,1,3,0.333,0,0,0.0,3,4,0.75,4,5,9,0,0,2,5,6,5,-7,1
16,22018,203083,0021801003,"MAR 11, 2019",DET @ BKN,L,29,5,14,0.357,0,0,0.0,3,4,0.75,9,11,20,3,1,0,1,3,13,-27,1
