,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,201933,0021801210,"APR 09, 2019",DET vs. MEM,W,18,2,5,0.4,1,2,0.5,0,0,0.0,0,2,2,1,1,1,0,2,5,-10,1
1,22018,201933,0021801198,"APR 07, 2019",DET vs. CHA,L,34,5,18,0.278,2,11,0.182,4,5,0.8,1,3,4,4,0,0,4,3,16,-6,1
2,22018,201933,0021801186,"APR 05, 2019",DET @ OKC,L,35,11,20,0.55,9,14,0.643,14,16,0.875,0,7,7,3,2,0,1,0,45,-11,1
3,22018,201933,0021801122,"MAR 28, 2019",DET vs. ORL,W,33,8,18,0.444,2,5,0.4,2,3,0.667,2,8,10,5,1,0,3,3,20,16,1
4,22018,201933,0021801115,"MAR 26, 2019",DET @ DEN,L,38,12,32,0.375,2,10,0.2,3,4,0.75,6,9,15,5,1,0,2,2,29,14,1
5,22018,201933,0021801101,"MAR 24, 2019",DET @ GSW,L,33,6,14,0.429,3,7,0.429,9,10,0.9,1,5,6,8,0,0,1,1,24,-14,1
6,22018,201933,0021801093,"MAR 23, 2019",DET @ POR,L,35,10,18,0.556,3,8,0.375,4,4,1.0,0,2,2,6,1,0,2,3,27,1,1
7,22018,201933,0021801077,"MAR 21, 2019",DET @ PHX,W,31,4,17,0.235,2,11,0.182,7,10,0.7,1,6,7,8,1,1,2,4,17,6,1
8,22018,201933,0021801044,"MAR 17, 2019",DET vs. TOR,W,33,9,21,0.429,4,8,0.5,3,5,0.6,2,6,8,3,0,0,5,5,25,-2,2
9,22018,201933,0021801026,"MAR 15, 2019",DET vs. LAL,W,34,3,12,0.25,2,6,0.333,7,12,0.583,0,2,2,9,0,0,4,2,15,17,1
10,22018,201933,0021801014,"MAR 13, 2019",DET @ MIA,L,30,4,9,0.444,2,6,0.333,3,4,0.75,0,4,4,3,1,1,3,2,13,-32,1
11,22018,201933,0021801003,"MAR 11, 2019",DET @ BKN,L,26,1,10,0.1,1,5,0.2,7,8,0.875,2,5,7,6,1,0,4,2,10,-20,1
12,22018,201933,0021800992,"MAR 10, 2019",DET vs. CHI,W,27,10,14,0.714,3,6,0.5,5,6,0.833,1,5,6,5,1,0,1,1,28,19,1
13,22018,201933,0021800980,"MAR 08, 2019",DET @ CHI,W,33,10,19,0.526,3,9,0.333,4,5,0.8,1,2,3,3,0,0,3,2,27,-2,1
14,22018,201933,0021800966,"MAR 06, 2019",DET vs. MIN,W,30,4,13,0.308,0,4,0.0,1,2,0.5,1,5,6,7,2,0,0,3,9,8,1
15,22018,201933,0021800949,"MAR 03, 2019",DET vs. TOR,W,42,9,21,0.429,2,8,0.25,7,10,0.7,1,6,7,1,0,1,5,2,27,-5,1
16,22018,201933,0021800935,"MAR 02, 2019",DET @ CLE,W,26,6,10,0.6,2,4,0.5,0,0,0.0,2,5,7,9,0,1,3,0,14,22,1
17,22018,201933,0021800917,"FEB 27, 2019",DET @ SAS,L,35,6,18,0.333,3,7,0.429,2,2,1.0,1,6,7,7,0,0,1,2,17,-14,1
18,22018,201933,0021800899,"FEB 25, 2019",DET vs. IND,W,35,6,18,0.333,5,10,0.5,3,8,0.375,2,8,10,10,1,0,2,2,20,7,1
19,22018,201933,0021800888,"FEB 23, 2019",DET @ MIA,W,33,7,19,0.368,2,8,0.25,4,7,0.571,1,3,4,6,0,0,3,3,20,21,1
20,22018,201933,0021800877,"FEB 22, 2019",DET @ ATL,W,23,6,13,0.462,2,6,0.333,1,2,0.5,1,3,4,1,0,1,2,1,15,21,1
21,22018,201933,0021800855,"FEB 13, 2019",DET @ BOS,L,37,10,19,0.526,4,8,0.5,8,12,0.667,3,5,8,5,0,0,2,2,32,1,1
22,22018,201933,0021800840,"FEB 11, 2019",DET vs. WAS,W,40,12,23,0.522,4,10,0.4,3,4,0.75,2,7,9,9,0,0,2,5,31,-2,1
23,22018,201933,0021800817,"FEB 08, 2019",DET vs. NYK,W,29,6,13,0.462,2,7,0.286,12,15,0.8,2,4,6,4,0,0,3,2,26,7,1
24,22018,201933,0021800799,"FEB 05, 2019",DET @ NYK,W,38,10,17,0.588,3,6,0.5,6,8,0.75,1,5,6,8,0,0,5,3,29,24,1
25,22018,201933,0021800790,"FEB 04, 2019",DET vs. DEN,W,23,6,8,0.75,1,1,1.0,4,5,0.8,2,5,7,4,0,1,5,1,17,12,1
26,22018,201933,0021800775,"FEB 02, 2019",DET vs. LAC,L,42,9,23,0.391,3,12,0.25,3,4,0.75,0,11,11,6,0,0,5,5,24,1,1
27,22018,201933,0021800764,"JAN 31, 2019",DET vs. DAL,W,39,8,26,0.308,2,7,0.286,6,8,0.75,4,6,10,6,1,0,2,3,24,5,1
28,22018,201933,0021800750,"JAN 29, 2019",DET vs. MIL,L,39,6,16,0.375,3,9,0.333,3,4,0.75,1,6,7,9,0,0,5,5,18,-5,1
29,22018,201933,0021800726,"JAN 25, 2019",DET @ DAL,L,40,12,24,0.5,3,9,0.333,8,11,0.727,3,4,7,4,1,0,6,2,35,2,1
30,22018,201933,0021800714,"JAN 23, 2019",DET @ NOP,W,38,14,28,0.5,4,9,0.444,5,6,0.833,2,7,9,7,1,0,1,2,37,7,1
31,22018,201933,0021800693,"JAN 21, 2019",DET @ WAS,L,36,9,16,0.563,4,7,0.571,7,11,0.636,0,9,9,4,0,0,3,2,29,-5,1
32,22018,201933,0021800680,"JAN 19, 2019",DET vs. SAC,L,38,12,23,0.522,1,4,0.25,13,15,0.867,3,3,6,3,3,0,5,4,38,-14,1
33,22018,201933,0021800672,"JAN 18, 2019",DET vs. MIA,W,37,10,24,0.417,3,9,0.333,9,11,0.818,2,9,11,9,1,0,5,3,32,-1,1
34,22018,201933,0021800657,"JAN 16, 2019",DET vs. ORL,W,40,11,18,0.611,1,2,0.5,7,10,0.7,0,4,4,5,0,2,2,2,30,0,1
35,22018,201933,0021800648,"JAN 14, 2019",DET @ UTA,L,36,7,17,0.412,3,11,0.273,2,2,1.0,0,4,4,4,1,1,4,3,19,-8,1
36,22018,201933,0021800630,"JAN 12, 2019",DET @ LAC,W,40,13,23,0.565,5,13,0.385,13,14,0.929,0,8,8,5,3,1,4,4,44,11,1
37,22018,201933,0021800616,"JAN 09, 2019",DET @ LAL,L,37,6,14,0.429,2,8,0.25,2,2,1.0,0,0,0,6,1,0,4,3,16,-22,1
38,22018,201933,0021800591,"JAN 07, 2019",DET vs. SAS,L,37,13,21,0.619,2,5,0.4,6,6,1.0,0,2,2,8,0,0,3,1,34,4,1
