,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,1627741,0021801230,"APR 10, 2019",SAC @ POR,L,16,3,6,0.5,3,5,0.6,0,0,0.0,1,2,3,2,0,0,1,0,9,16,1
1,22018,1627741,0021801207,"APR 07, 2019",SAC vs. NOP,L,32,5,15,0.333,2,10,0.2,0,0,0.0,2,3,5,6,1,0,3,2,12,-11,1
2,22018,1627741,0021801188,"APR 05, 2019",SAC @ UTA,L,26,7,17,0.412,3,7,0.429,0,0,0.0,1,2,3,0,1,0,0,3,17,-14,1
3,22018,1627741,0021801178,"APR 04, 2019",SAC vs. CLE,W,29,9,16,0.563,5,11,0.455,0,0,0.0,0,2,2,2,3,1,1,2,23,5,1
4,22018,1627741,0021801163,"APR 02, 2019",SAC vs. HOU,L,33,8,16,0.5,4,9,0.444,0,0,0.0,1,6,7,5,0,1,0,2,20,-25,1
5,22018,1627741,0021801149,"MAR 31, 2019",SAC @ SAS,W,31,8,15,0.533,4,6,0.667,6,7,0.857,0,5,5,3,1,0,0,1,26,-1,1
6,22018,1627741,0021801138,"MAR 30, 2019",SAC @ HOU,L,36,8,18,0.444,3,8,0.375,2,2,1.0,0,3,3,3,1,1,0,3,21,-11,1
7,22018,1627741,0021801128,"MAR 28, 2019",SAC @ NOP,L,33,11,21,0.524,1,8,0.125,4,4,1.0,0,2,2,1,0,0,3,0,27,-8,1
8,22018,1627741,0021801114,"MAR 26, 2019",SAC @ DAL,W,35,4,13,0.308,3,8,0.375,6,6,1.0,0,5,5,3,1,1,1,5,17,15,1
9,22018,1627741,0021801102,"MAR 24, 2019",SAC @ LAL,L,30,6,21,0.286,5,12,0.417,1,1,1.0,1,5,6,3,0,0,1,4,18,-11,1
10,22018,1627741,0021801094,"MAR 23, 2019",SAC vs. PHX,W,36,9,20,0.45,7,14,0.5,0,0,0.0,3,4,7,2,1,1,2,5,25,10,1
11,22018,1627741,0021801078,"MAR 21, 2019",SAC vs. DAL,W,35,10,21,0.476,7,13,0.538,2,2,1.0,0,2,2,4,2,0,0,1,29,24,1
12,22018,1627741,0021801063,"MAR 19, 2019",SAC vs. BKN,L,36,4,13,0.308,0,8,0.0,0,0,0.0,2,2,4,3,3,1,3,0,8,-7,1
13,22018,1627741,0021801047,"MAR 17, 2019",SAC vs. CHI,W,25,6,12,0.5,2,3,0.667,2,2,1.0,1,2,3,4,3,1,2,2,16,25,1
