,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,203468,0021801219,"APR 09, 2019",POR @ LAL,W,29,5,13,0.385,1,6,0.167,0,1,0.0,0,1,1,3,0,1,2,3,11,17,1
1,22018,203468,0021801206,"APR 07, 2019",POR vs. DEN,W,25,3,13,0.231,1,5,0.2,2,2,1.0,2,4,6,6,1,0,0,3,9,9,1
2,22018,203468,0021801039,"MAR 16, 2019",POR @ SAS,L,23,5,13,0.385,0,3,0.0,0,0,0.0,1,2,3,5,0,0,0,0,10,0,1
3,22018,203468,0021801031,"MAR 15, 2019",POR @ NOP,W,38,10,20,0.5,3,4,0.75,0,2,0.0,0,5,5,4,0,1,0,0,23,9,2
4,22018,203468,0021801013,"MAR 12, 2019",POR @ LAC,W,35,12,21,0.571,6,11,0.545,5,6,0.833,2,2,4,4,2,0,0,4,35,20,1
5,22018,203468,0021800991,"MAR 09, 2019",POR vs. PHX,W,30,11,14,0.786,4,7,0.571,0,0,0.0,1,2,3,4,1,1,1,3,26,13,1
6,22018,203468,0021800976,"MAR 07, 2019",POR vs. OKC,L,45,9,24,0.375,3,11,0.273,4,4,1.0,0,5,5,0,1,1,1,4,25,-4,1
7,22018,203468,0021800962,"MAR 05, 2019",POR @ MEM,L,35,9,13,0.692,3,5,0.6,6,6,1.0,0,2,2,2,0,1,1,3,27,-5,1
8,22018,203468,0021800944,"MAR 03, 2019",POR @ CHA,W,34,2,13,0.154,2,4,0.5,0,0,0.0,1,1,2,6,0,1,3,1,6,20,1
9,22018,203468,0021800930,"MAR 01, 2019",POR @ TOR,L,40,12,20,0.6,7,11,0.636,4,4,1.0,0,4,4,5,1,0,3,3,35,-5,1
10,22018,203468,0021800913,"FEB 27, 2019",POR @ BOS,W,37,6,19,0.316,1,8,0.125,1,2,0.5,1,4,5,3,0,0,2,3,14,8,1
11,22018,203468,0021800898,"FEB 25, 2019",POR @ CLE,W,36,12,18,0.667,7,8,0.875,4,6,0.667,1,6,7,2,1,0,3,5,35,19,1
12,22018,203468,0021800882,"FEB 23, 2019",POR @ PHI,W,34,6,17,0.353,1,5,0.2,2,2,1.0,2,3,5,4,2,0,2,2,15,20,1
