,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,1626156,0021801221,"APR 10, 2019",BKN vs. MIA,W,20,7,13,0.538,7,11,0.636,0,0,0.0,2,5,7,5,1,0,1,0,21,27,1
1,22018,1626156,0021801199,"APR 07, 2019",BKN @ IND,W,29,7,15,0.467,1,4,0.25,5,5,1.0,3,3,6,6,0,1,3,2,20,4,1
2,22018,1626156,0021801193,"APR 06, 2019",BKN @ MIL,W,33,10,15,0.667,3,4,0.75,2,3,0.667,0,2,2,10,2,0,3,2,25,12,1
3,22018,1626156,0021801169,"APR 03, 2019",BKN vs. TOR,L,33,11,25,0.44,5,10,0.5,0,0,0.0,0,7,7,6,1,0,3,1,27,-6,1
4,22018,1626156,0021801154,"APR 01, 2019",BKN vs. MIL,L,35,9,27,0.333,4,12,0.333,6,6,1.0,2,8,10,3,1,0,6,4,28,0,1
5,22018,1626156,0021801137,"MAR 30, 2019",BKN vs. BOS,W,30,12,24,0.5,4,12,0.333,1,2,0.5,0,3,3,10,2,0,4,3,29,24,1
6,22018,1626156,0021801123,"MAR 28, 2019",BKN @ PHI,L,28,6,19,0.316,1,5,0.2,0,2,0.0,2,2,4,8,1,0,7,0,13,-12,1
7,22018,1626156,0021801106,"MAR 25, 2019",BKN @ POR,L,42,16,34,0.471,3,14,0.214,4,8,0.5,2,7,9,8,1,0,6,1,39,-9,1
8,22018,1626156,0021801086,"MAR 22, 2019",BKN @ LAL,W,34,8,20,0.4,4,11,0.364,1,2,0.5,1,1,2,13,4,0,6,4,21,12,1
9,22018,1626156,0021801063,"MAR 19, 2019",BKN @ SAC,W,38,17,33,0.515,6,15,0.4,4,6,0.667,1,3,4,12,4,0,5,3,44,13,1
10,22018,1626156,0021801049,"MAR 17, 2019",BKN @ LAC,L,33,13,25,0.52,6,12,0.5,0,1,0.0,0,5,5,10,1,0,3,4,32,16,1
11,22018,1626156,0021801041,"MAR 16, 2019",BKN @ UTA,L,25,8,25,0.32,3,7,0.429,1,1,1.0,2,3,5,4,1,0,2,0,20,-14,1
12,22018,1626156,0021801017,"MAR 13, 2019",BKN @ OKC,L,34,6,18,0.333,2,8,0.25,0,0,0.0,0,4,4,7,3,0,3,1,14,-8,1
13,22018,1626156,0021801003,"MAR 11, 2019",BKN vs. DET,W,24,5,13,0.385,1,6,0.167,0,2,0.0,1,2,3,7,2,1,4,0,11,15,1
14,22018,1626156,0021800987,"MAR 09, 2019",BKN @ ATL,W,31,6,23,0.261,3,12,0.25,3,5,0.6,1,2,3,6,1,0,1,2,18,-11,1
15,22018,1626156,0021800969,"MAR 06, 2019",BKN vs. CLE,W,32,9,20,0.45,4,8,0.5,3,6,0.5,0,4,4,5,3,0,5,4,25,-4,1
16,22018,1626156,0021800952,"MAR 04, 2019",BKN vs. DAL,W,22,6,13,0.462,1,6,0.167,0,0,0.0,0,2,2,11,2,0,2,3,13,22,1
17,22018,1626156,0021800937,"MAR 02, 2019",BKN @ MIA,L,23,4,8,0.5,2,4,0.5,0,0,0.0,0,1,1,8,1,0,1,0,10,-13,1
18,22018,1626156,0021800929,"MAR 01, 2019",BKN vs. CHA,L,28,9,24,0.375,1,7,0.143,3,3,1.0,0,0,0,9,0,0,3,0,22,-13,1
19,22018,1626156,0021800914,"FEB 27, 2019",BKN vs. WAS,L,29,9,16,0.563,1,5,0.2,9,10,0.9,1,2,3,7,1,0,5,2,28,-11,1
20,22018,1626156,0021800900,"FEB 25, 2019",BKN vs. SAS,W,36,9,19,0.474,5,11,0.455,0,0,0.0,1,6,7,8,1,1,3,3,23,5,1
21,22018,1626156,0021800884,"FEB 23, 2019",BKN @ CHA,W,35,14,31,0.452,6,15,0.4,6,6,1.0,1,0,1,7,2,1,4,2,40,1,1
22,22018,1626156,0021800869,"FEB 21, 2019",BKN vs. POR,L,29,4,16,0.25,2,9,0.222,4,6,0.667,0,4,4,8,0,0,1,1,14,-30,1
23,22018,1626156,0021800853,"FEB 13, 2019",BKN @ CLE,W,43,13,30,0.433,5,15,0.333,5,6,0.833,1,6,7,8,0,0,7,5,36,7,1
24,22018,1626156,0021800842,"FEB 11, 2019",BKN @ TOR,L,34,10,22,0.455,2,7,0.286,6,8,0.75,1,6,7,14,1,0,4,0,28,0,1
25,22018,1626156,0021800820,"FEB 08, 2019",BKN vs. CHI,L,32,8,21,0.381,1,8,0.125,6,6,1.0,0,1,1,6,2,0,3,2,23,-13,1
26,22018,1626156,0021800804,"FEB 06, 2019",BKN vs. DEN,W,35,10,23,0.435,6,9,0.667,1,1,1.0,1,5,6,11,0,0,3,2,27,0,1
27,22018,1626156,0021800792,"FEB 04, 2019",BKN vs. MIL,L,29,7,20,0.35,2,6,0.333,2,2,1.0,1,0,1,5,1,0,1,0,18,-14,1
