,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,201568,0021801229,"APR 10, 2019",LAC vs. UTA,W,25,5,11,0.455,0,1,0.0,3,4,0.75,1,3,4,5,1,0,0,1,13,-4,1
1,22018,201568,0021801192,"APR 05, 2019",LAC vs. LAL,L,33,8,18,0.444,3,6,0.5,8,9,0.889,1,5,6,8,3,2,3,2,27,10,1
2,22018,201568,0021801176,"APR 03, 2019",LAC vs. HOU,L,24,6,12,0.5,1,3,0.333,3,3,1.0,0,4,4,1,0,0,1,3,16,-16,1
3,22018,201568,0021801151,"MAR 31, 2019",LAC vs. MEM,W,31,6,11,0.545,1,4,0.25,14,16,0.875,1,14,15,5,0,0,3,2,27,13,1
4,22018,201568,0021801127,"MAR 28, 2019",LAC @ MIL,L,24,3,9,0.333,1,4,0.25,7,7,1.0,0,8,8,4,1,0,1,0,14,-5,1
5,22018,201568,0021801112,"MAR 26, 2019",LAC @ MIN,W,30,7,16,0.438,6,9,0.667,5,5,1.0,0,10,10,4,1,0,2,1,25,13,1
6,22018,201568,0021801095,"MAR 24, 2019",LAC @ NYK,W,33,5,16,0.313,3,10,0.3,13,14,0.929,2,6,8,1,0,0,2,4,26,8,1
7,22018,201568,0021801081,"MAR 22, 2019",LAC @ CLE,W,33,11,15,0.733,1,4,0.25,4,4,1.0,0,3,3,3,1,0,1,1,27,10,1
8,22018,201568,0021801064,"MAR 19, 2019",LAC vs. IND,W,31,8,17,0.471,4,9,0.444,4,4,1.0,0,2,2,3,2,0,2,0,24,6,1
9,22018,201568,0021801049,"MAR 17, 2019",LAC vs. BKN,W,31,7,17,0.412,1,5,0.2,5,5,1.0,1,10,11,5,1,0,1,1,20,5,1
10,22018,201568,0021801033,"MAR 15, 2019",LAC vs. CHI,W,34,10,14,0.714,4,4,1.0,3,5,0.6,0,7,7,2,1,1,1,2,27,15,2
11,22018,201568,0021801006,"MAR 11, 2019",LAC vs. BOS,W,27,9,12,0.75,4,5,0.8,3,3,1.0,0,5,5,2,0,0,2,1,25,10,1
12,22018,201568,0021800985,"MAR 08, 2019",LAC vs. OKC,W,34,10,19,0.526,2,5,0.4,12,15,0.8,2,4,6,2,0,0,0,1,34,13,1
