,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,1628368,0021801230,"APR 10, 2019",SAC @ POR,L,17,8,10,0.8,1,1,1.0,0,0,0.0,0,1,1,9,0,0,1,1,17,19,1
1,22018,1628368,0021801207,"APR 07, 2019",SAC vs. NOP,L,35,10,18,0.556,1,3,0.333,3,3,1.0,2,4,6,11,3,1,2,1,24,-7,1
2,22018,1628368,0021801188,"APR 05, 2019",SAC @ UTA,L,8,2,5,0.4,0,0,0.0,0,0,0.0,0,1,1,1,1,0,1,3,4,-16,1
3,22018,1628368,0021801178,"APR 04, 2019",SAC vs. CLE,W,34,6,14,0.429,1,3,0.333,3,4,0.75,0,3,3,10,2,0,1,1,16,11,1
4,22018,1628368,0021801163,"APR 02, 2019",SAC vs. HOU,L,24,3,8,0.375,0,1,0.0,3,4,0.75,1,1,2,5,0,1,4,2,9,-21,1
5,22018,1628368,0021801149,"MAR 31, 2019",SAC @ SAS,W,33,5,12,0.417,0,2,0.0,2,3,0.667,0,4,4,5,1,0,2,1,12,-15,1
6,22018,1628368,0021801138,"MAR 30, 2019",SAC @ HOU,L,38,6,16,0.375,4,7,0.571,2,4,0.5,1,6,7,10,1,2,3,2,18,-14,1
7,22018,1628368,0021801128,"MAR 28, 2019",SAC @ NOP,L,37,11,22,0.5,1,3,0.333,2,3,0.667,1,4,5,12,3,1,2,5,25,2,1
8,22018,1628368,0021801114,"MAR 26, 2019",SAC @ DAL,W,32,6,16,0.375,0,1,0.0,11,12,0.917,2,3,5,8,0,0,1,4,23,12,1
9,22018,1628368,0021801102,"MAR 24, 2019",SAC @ LAL,L,27,3,16,0.188,1,4,0.25,2,2,1.0,2,4,6,4,6,1,2,3,9,-14,1
10,22018,1628368,0021801094,"MAR 23, 2019",SAC vs. PHX,W,34,3,12,0.25,0,2,0.0,7,8,0.875,0,4,4,9,1,0,4,1,13,9,1
11,22018,1628368,0021801078,"MAR 21, 2019",SAC vs. DAL,W,33,6,13,0.462,1,4,0.25,2,4,0.5,0,3,3,9,1,4,1,1,15,25,1
12,22018,1628368,0021801063,"MAR 19, 2019",SAC vs. BKN,L,35,10,20,0.5,2,5,0.4,5,7,0.714,0,4,4,9,1,0,5,3,27,9,1
13,22018,1628368,0021801047,"MAR 17, 2019",SAC vs. CHI,W,25,6,12,0.5,2,4,0.5,3,4,0.75,0,4,4,3,2,1,2,3,17,11,1
14,22018,1628368,0021801027,"MAR 15, 2019",SAC @ PHI,L,29,4,9,0.444,1,1,1.0,7,8,0.875,0,2,2,6,0,1,3,2,16,-22,1
15,22018,1628368,0021801022,"MAR 14, 2019",SAC @ BOS,L,37,7,15,0.467,1,4,0.25,4,8,0.5,0,7,7,9,3,0,1,3,19,3,1
16,22018,1628368,0021801002,"MAR 11, 2019",SAC @ WAS,L,38,8,16,0.5,2,3,0.667,5,8,0.625,0,4,4,8,2,0,6,3,23,-4,1
17,22018,1628368,0021800986,"MAR 09, 2019",SAC @ NYK,W,37,11,17,0.647,2,4,0.5,6,8,0.75,0,5,5,8,1,0,3,3,30,19,1
18,22018,1628368,0021800973,"MAR 06, 2019",SAC vs. BOS,L,35,7,13,0.538,0,1,0.0,2,4,0.5,0,2,2,7,0,0,3,3,16,1,1
19,22018,1628368,0021800957,"MAR 04, 2019",SAC vs. NYK,W,33,5,12,0.417,1,2,0.5,5,8,0.625,0,4,4,3,4,0,2,4,16,11,1
20,22018,1628368,0021800933,"MAR 01, 2019",SAC vs. LAC,L,29,5,9,0.556,0,1,0.0,2,3,0.667,0,5,5,12,1,0,1,3,12,-2,1
21,22018,1628368,0021800920,"FEB 27, 2019",SAC vs. MIL,L,38,6,13,0.462,0,2,0.0,5,5,1.0,0,6,6,9,0,1,1,1,17,0,1
22,22018,1628368,0021800905,"FEB 25, 2019",SAC @ MIN,L,33,8,24,0.333,2,5,0.4,5,7,0.714,1,2,3,5,1,0,3,4,23,1,1
23,22018,1628368,0021800890,"FEB 23, 2019",SAC @ OKC,W,34,7,16,0.438,1,1,1.0,4,6,0.667,0,1,1,9,1,3,2,2,19,-3,1
24,22018,1628368,0021800871,"FEB 21, 2019",SAC @ GSW,L,32,6,14,0.429,2,4,0.5,4,6,0.667,0,3,3,8,3,1,2,3,18,3,1
25,22018,1628368,0021800860,"FEB 13, 2019",SAC @ DEN,L,32,6,11,0.545,1,2,0.5,2,4,0.5,0,4,4,10,0,0,4,3,15,5,1
26,22018,1628368,0021800836,"FEB 10, 2019",SAC vs. PHX,W,32,5,11,0.455,2,4,0.5,5,6,0.833,0,6,6,9,2,0,2,2,17,10,1
27,22018,1628368,0021800824,"FEB 08, 2019",SAC vs. MIA,W,30,5,17,0.294,1,3,0.333,1,2,0.5,0,2,2,3,4,0,1,2,12,-2,1
28,22018,1628368,0021800809,"FEB 06, 2019",SAC vs. HOU,L,29,3,8,0.375,0,3,0.0,0,0,0.0,1,1,2,6,0,1,5,1,6,-26,1
29,22018,1628368,0021800795,"FEB 04, 2019",SAC vs. SAS,W,31,9,12,0.75,1,1,1.0,1,3,0.333,1,5,6,6,1,1,1,1,20,15,1
30,22018,1628368,0021800785,"FEB 02, 2019",SAC vs. PHI,W,35,5,14,0.357,1,2,0.5,8,9,0.889,0,3,3,8,3,0,4,3,19,10,1
31,22018,1628368,0021800762,"JAN 30, 2019",SAC vs. ATL,W,22,4,10,0.4,0,1,0.0,1,2,0.5,1,3,4,7,0,1,3,2,9,9,1
32,22018,1628368,0021800736,"JAN 27, 2019",SAC @ LAC,L,32,8,16,0.5,1,4,0.25,4,5,0.8,1,3,4,3,1,0,4,5,21,-12,1
33,22018,1628368,0021800725,"JAN 25, 2019",SAC @ MEM,W,36,8,17,0.471,1,3,0.333,5,5,1.0,0,6,6,5,1,0,7,3,22,-5,1
34,22018,1628368,0021800696,"JAN 21, 2019",SAC @ BKN,L,29,4,14,0.286,1,2,0.5,0,2,0.0,2,1,3,6,1,0,3,3,9,-16,1
35,22018,1628368,0021800680,"JAN 19, 2019",SAC @ DET,W,35,4,13,0.308,1,4,0.25,5,7,0.714,1,5,6,10,1,0,0,0,14,8,1
36,22018,1628368,0021800666,"JAN 17, 2019",SAC @ CHA,L,31,4,10,0.4,0,2,0.0,2,3,0.667,0,5,5,8,1,1,4,4,10,-6,1
37,22018,1628368,0021800649,"JAN 14, 2019",SAC vs. POR,W,32,3,11,0.273,1,3,0.333,9,10,0.9,0,2,2,9,2,0,0,5,16,3,2
38,22018,1628368,0021800636,"JAN 12, 2019",SAC vs. CHA,W,30,6,15,0.4,1,4,0.25,8,9,0.889,2,5,7,4,3,1,2,2,21,1,1
39,22018,1628368,0021800620,"JAN 10, 2019",SAC vs. DET,W,24,5,8,0.625,1,2,0.5,1,4,0.25,0,5,5,6,1,1,2,3,12,17,1
