,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,201942,0021801227,"APR 10, 2019",SAS vs. DAL,W,34,7,15,0.467,0,1,0.0,5,6,0.833,1,4,5,4,3,0,2,2,19,21,1
1,22018,201942,0021801196,"APR 07, 2019",SAS @ CLE,W,32,4,9,0.444,0,0,0.0,6,7,0.857,0,3,3,9,1,0,3,2,14,19,1
2,22018,201942,0021801182,"APR 05, 2019",SAS @ WAS,W,28,8,14,0.571,0,0,0.0,0,0,0.0,2,3,5,4,0,0,3,1,16,9,1
3,22018,201942,0021801173,"APR 03, 2019",SAS @ DEN,L,24,4,7,0.571,0,0,0.0,3,5,0.6,0,1,1,3,1,2,2,1,11,-17,1
4,22018,201942,0021801162,"APR 02, 2019",SAS vs. ATL,W,36,7,11,0.636,0,0,0.0,15,16,0.938,0,7,7,7,2,0,5,6,29,18,1
5,22018,201942,0021801149,"MAR 31, 2019",SAS vs. SAC,L,36,8,16,0.5,0,0,0.0,0,0,0.0,1,1,2,7,3,0,2,4,16,6,1
6,22018,201942,0021801129,"MAR 28, 2019",SAS vs. CLE,W,35,10,12,0.833,0,0,0.0,5,5,1.0,1,1,2,8,2,0,2,2,25,13,1
7,22018,201942,0021801107,"MAR 26, 2019",SAS @ CHA,L,40,12,23,0.522,0,1,0.0,6,8,0.75,2,6,8,4,0,0,1,2,30,-14,1
8,22018,201942,0021801100,"MAR 24, 2019",SAS @ BOS,W,36,8,18,0.444,0,0,0.0,0,0,0.0,0,0,0,11,0,2,1,1,16,16,1
9,22018,201942,0021801084,"MAR 22, 2019",SAS @ HOU,L,33,7,19,0.368,0,0,0.0,2,2,1.0,1,7,8,8,1,0,2,5,16,-12,1
10,22018,201942,0021801071,"MAR 20, 2019",SAS vs. MIA,L,34,6,12,0.5,0,1,0.0,4,6,0.667,0,15,15,6,1,1,3,0,16,-16,1
11,22018,201942,0021801055,"MAR 18, 2019",SAS vs. GSW,W,38,9,17,0.529,0,0,0.0,8,9,0.889,1,8,9,8,1,0,3,0,26,7,1
12,22018,201942,0021801039,"MAR 16, 2019",SAS vs. POR,W,34,6,14,0.429,0,0,0.0,9,10,0.9,0,8,8,3,0,1,1,1,21,-5,1
13,22018,201942,0021801032,"MAR 15, 2019",SAS vs. NYK,W,26,6,11,0.545,0,0,0.0,1,1,1.0,0,4,4,7,1,0,3,2,13,5,2
14,22018,201942,0021801011,"MAR 12, 2019",SAS @ DAL,W,38,11,19,0.579,0,0,0.0,11,11,1.0,0,4,4,6,4,0,3,4,33,9,1
15,22018,201942,0021800999,"MAR 10, 2019",SAS vs. MIL,W,36,10,20,0.5,0,1,0.0,8,9,0.889,0,4,4,6,2,1,1,3,28,-12,1
16,22018,201942,0021800968,"MAR 06, 2019",SAS @ ATL,W,35,7,14,0.5,0,0,0.0,0,0,0.0,0,3,3,7,1,0,4,4,14,0,1
17,22018,201942,0021800954,"MAR 04, 2019",SAS vs. DEN,W,37,11,19,0.579,0,0,0.0,2,3,0.667,1,5,6,7,3,1,3,2,24,2,1
18,22018,201942,0021800940,"MAR 02, 2019",SAS vs. OKC,W,34,8,16,0.5,0,0,0.0,2,4,0.5,1,5,6,7,0,0,4,1,18,21,1
19,22018,201942,0021800917,"FEB 27, 2019",SAS vs. DET,W,37,7,13,0.538,0,0,0.0,3,6,0.5,1,12,13,8,2,0,2,0,17,17,1
20,22018,201942,0021800900,"FEB 25, 2019",SAS @ BKN,L,34,9,14,0.643,0,0,0.0,5,5,1.0,0,5,5,2,1,0,3,3,23,-10,1
21,22018,201942,0021800896,"FEB 24, 2019",SAS @ NYK,L,32,12,22,0.545,0,0,0.0,8,10,0.8,0,9,9,4,1,1,0,4,32,-17,1
22,22018,201942,0021800876,"FEB 22, 2019",SAS @ TOR,L,34,7,12,0.583,0,0,0.0,9,9,1.0,0,4,4,8,2,1,4,4,23,-5,1
23,22018,201942,0021800850,"FEB 12, 2019",SAS @ MEM,W,41,5,19,0.263,0,0,0.0,2,3,0.667,1,5,6,5,1,0,1,3,12,3,1
24,22018,201942,0021800825,"FEB 09, 2019",SAS @ UTA,L,35,10,19,0.526,0,0,0.0,3,3,1.0,0,2,2,5,1,0,4,5,23,-15,1
25,22018,201942,0021800816,"FEB 07, 2019",SAS @ POR,L,35,14,28,0.5,0,0,0.0,7,8,0.875,1,5,6,6,0,0,5,1,35,-15,1
26,22018,201942,0021800795,"FEB 04, 2019",SAS @ SAC,L,33,10,15,0.667,0,0,0.0,4,6,0.667,1,3,4,4,1,1,1,2,24,-15,1
27,22018,201942,0021800779,"FEB 02, 2019",SAS vs. NOP,W,29,3,10,0.3,0,0,0.0,7,8,0.875,1,5,6,5,0,1,1,1,13,17,1
28,22018,201942,0021800767,"JAN 31, 2019",SAS vs. BKN,W,36,5,16,0.313,0,1,0.0,5,6,0.833,2,8,10,4,0,0,0,1,15,5,1
29,22018,201942,0021800711,"JAN 23, 2019",SAS @ PHI,L,37,12,19,0.632,0,0,0.0,2,3,0.667,1,8,9,3,2,1,6,2,26,-2,1
30,22018,201942,0021800690,"JAN 20, 2019",SAS vs. LAC,L,29,4,16,0.25,0,0,0.0,0,0,0.0,0,7,7,3,1,1,4,3,8,-14,1
31,22018,201942,0021800661,"JAN 16, 2019",SAS @ DAL,W,40,6,13,0.462,0,0,0.0,2,2,1.0,0,4,4,9,1,0,2,2,14,0,1
32,22018,201942,0021800647,"JAN 14, 2019",SAS vs. CHA,L,39,7,15,0.467,0,0,0.0,0,1,0.0,1,4,5,5,1,0,6,4,14,-7,1
33,22018,201942,0021800634,"JAN 12, 2019",SAS @ OKC,L,35,7,19,0.368,0,0,0.0,4,6,0.667,2,4,6,4,1,1,4,2,18,-15,1
34,22018,201942,0021800619,"JAN 10, 2019",SAS vs. OKC,W,49,7,22,0.318,0,0,0.0,2,5,0.4,0,8,8,11,1,1,4,5,16,-2,1
35,22018,201942,0021800611,"JAN 09, 2019",SAS @ MEM,L,31,4,15,0.267,0,0,0.0,1,3,0.333,2,3,5,4,1,0,4,0,9,-17,1
36,22018,201942,0021800591,"JAN 07, 2019",SAS @ DET,W,34,12,21,0.571,0,0,0.0,2,2,1.0,1,6,7,9,2,2,2,5,26,6,1
37,22018,201942,0021800581,"JAN 05, 2019",SAS vs. MEM,W,34,3,10,0.3,0,0,0.0,6,7,0.857,1,8,9,4,1,0,5,2,12,11,1
38,22018,201942,0021800563,"JAN 03, 2019",SAS vs. TOR,W,33,7,15,0.467,0,0,0.0,7,7,1.0,1,13,14,11,2,0,3,2,21,16,1
39,22018,201942,0021800545,"DEC 31, 2018",SAS vs. BOS,W,35,6,18,0.333,0,0,0.0,1,1,1.0,0,7,7,10,1,0,1,1,13,7,1
40,22018,201942,0021800535,"DEC 29, 2018",SAS @ LAC,W,38,9,19,0.474,0,1,0.0,7,7,1.0,1,12,13,6,4,1,3,3,25,13,1
41,22018,201942,0021800524,"DEC 28, 2018",SAS @ DEN,L,38,6,12,0.5,0,0,0.0,3,6,0.5,0,5,5,5,1,0,3,3,15,6,1
42,22018,201942,0021800510,"DEC 26, 2018",SAS vs. DEN,W,38,9,17,0.529,1,2,0.5,11,14,0.786,1,6,7,5,2,1,2,3,30,15,1
43,22018,201942,0021800483,"DEC 22, 2018",SAS @ HOU,L,38,12,24,0.5,0,0,0.0,4,5,0.8,1,6,7,8,1,2,1,2,28,-17,1
44,22018,201942,0021800475,"DEC 21, 2018",SAS vs. MIN,W,32,5,10,0.5,0,0,0.0,2,4,0.5,0,5,5,8,0,0,4,3,12,6,1
45,22018,201942,0021800456,"DEC 19, 2018",SAS @ ORL,W,30,7,12,0.583,0,0,0.0,3,4,0.75,0,7,7,6,1,0,1,1,17,18,1
46,22018,201942,0021800448,"DEC 17, 2018",SAS vs. PHI,W,29,9,16,0.563,0,0,0.0,2,2,1.0,1,5,6,7,0,0,0,1,20,12,1
47,22018,201942,0021800433,"DEC 15, 2018",SAS vs. CHI,L,37,8,23,0.348,0,1,0.0,5,6,0.833,1,4,5,3,0,1,4,2,21,-17,1
48,22018,201942,0021800417,"DEC 13, 2018",SAS vs. LAC,W,30,6,14,0.429,0,1,0.0,2,3,0.667,1,3,4,7,1,0,2,3,14,10,1
49,22018,201942,0021800403,"DEC 11, 2018",SAS vs. PHX,W,26,2,6,0.333,0,0,0.0,1,2,0.5,0,2,2,9,0,0,1,1,5,15,1
50,22018,201942,0021800390,"DEC 09, 2018",SAS vs. UTA,W,38,10,23,0.435,0,1,0.0,6,6,1.0,0,6,6,8,2,1,0,2,26,8,1
51,22018,201942,0021800375,"DEC 07, 2018",SAS vs. LAL,W,36,11,20,0.55,0,0,0.0,14,18,0.778,1,7,8,9,0,2,1,1,36,10,1
52,22018,201942,0021800364,"DEC 05, 2018",SAS @ LAL,L,41,12,27,0.444,0,1,0.0,8,8,1.0,1,6,7,3,2,0,2,0,32,-14,1
53,22018,201942,0021800354,"DEC 04, 2018",SAS @ UTA,L,24,7,13,0.538,0,0,0.0,2,3,0.667,0,2,2,7,0,1,2,2,16,-18,1
54,22018,201942,0021800342,"DEC 02, 2018",SAS vs. POR,W,38,13,27,0.481,0,0,0.0,10,10,1.0,1,7,8,6,2,0,4,2,36,9,1
55,22018,201942,0021800326,"NOV 30, 2018",SAS vs. HOU,L,27,5,13,0.385,0,0,0.0,8,10,0.8,1,1,2,5,2,0,4,2,18,-26,1
56,22018,201942,0021800311,"NOV 28, 2018",SAS @ MIN,L,28,4,9,0.444,0,1,0.0,2,2,1.0,0,2,2,2,0,4,5,2,10,-22,1
57,22018,201942,0021800297,"NOV 26, 2018",SAS @ CHI,W,34,9,18,0.5,0,2,0.0,3,3,1.0,2,6,8,5,0,0,3,3,21,-11,1
58,22018,201942,0021800284,"NOV 24, 2018",SAS @ MIL,L,35,13,26,0.5,1,2,0.5,7,10,0.7,2,2,4,7,1,0,0,0,34,-32,1
59,22018,201942,0021800272,"NOV 23, 2018",SAS @ IND,W,37,7,13,0.538,0,0,0.0,3,6,0.5,0,3,3,6,0,1,2,2,17,18,1
60,22018,201942,0021800262,"NOV 21, 2018",SAS vs. MEM,L,37,10,21,0.476,0,0,0.0,4,5,0.8,0,5,5,5,1,0,5,2,24,-9,1
61,22018,201942,0021800246,"NOV 19, 2018",SAS @ NOP,L,31,7,19,0.368,0,0,0.0,7,7,1.0,3,3,6,5,1,0,3,2,21,-20,1
62,22018,201942,0021800238,"NOV 18, 2018",SAS vs. GSW,W,40,8,19,0.421,0,0,0.0,4,6,0.667,1,5,6,9,0,0,2,2,20,16,1
63,22018,201942,0021800215,"NOV 15, 2018",SAS @ LAC,L,41,14,30,0.467,0,3,0.0,6,8,0.75,0,6,6,5,3,1,1,4,34,11,1
64,22018,201942,0021800211,"NOV 14, 2018",SAS @ PHX,L,32,7,15,0.467,0,0,0.0,10,10,1.0,0,5,5,4,0,0,2,2,24,-17,1
65,22018,201942,0021800197,"NOV 12, 2018",SAS @ SAC,L,37,8,17,0.471,0,2,0.0,7,8,0.875,0,2,2,8,0,0,4,1,23,-6,1
66,22018,201942,0021800180,"NOV 10, 2018",SAS vs. HOU,W,39,5,12,0.417,0,3,0.0,3,4,0.75,1,10,11,3,0,0,4,2,13,12,1
67,22018,201942,0021800156,"NOV 07, 2018",SAS @ MIA,L,37,6,15,0.4,1,2,0.5,5,5,1.0,3,11,14,8,2,1,3,3,18,1,1
68,22018,201942,0021800137,"NOV 04, 2018",SAS vs. ORL,L,33,9,16,0.563,1,4,0.25,6,6,1.0,1,6,7,5,2,0,4,2,25,0,1
69,22018,201942,0021800130,"NOV 03, 2018",SAS vs. NOP,W,38,11,24,0.458,0,3,0.0,4,4,1.0,0,3,3,4,0,0,2,3,26,3,1
70,22018,201942,0021800110,"OCT 31, 2018",SAS @ PHX,W,28,10,12,0.833,0,0,0.0,5,5,1.0,0,4,4,3,1,1,1,1,25,24,1
71,22018,201942,0021800094,"OCT 29, 2018",SAS vs. DAL,W,43,12,21,0.571,0,1,0.0,10,10,1.0,1,5,6,9,3,0,2,4,34,-7,1
72,22018,201942,0021800082,"OCT 27, 2018",SAS vs. LAL,W,39,14,23,0.609,0,0,0.0,2,2,1.0,1,11,12,8,2,1,4,4,30,2,1
73,22018,201942,0021800058,"OCT 24, 2018",SAS vs. IND,L,33,8,18,0.444,0,1,0.0,2,3,0.667,0,3,3,4,0,0,1,3,18,-3,1
74,22018,201942,0021800048,"OCT 22, 2018",SAS @ LAL,W,45,11,29,0.379,2,5,0.4,8,9,0.889,1,7,8,14,1,0,2,3,32,7,1
75,22018,201942,0021800034,"OCT 20, 2018",SAS @ POR,L,34,11,22,0.5,0,1,0.0,6,6,1.0,1,2,3,9,2,0,2,3,28,-12,1
76,22018,201942,0021800010,"OCT 17, 2018",SAS vs. MIN,W,38,10,21,0.476,1,3,0.333,7,11,0.636,0,4,4,4,0,0,3,3,28,7,1
0,22017,201942,0021701221,"APR 11, 2018",TOR @ MIA,L,38,6,17,0.353,0,2,0.0,7,9,0.778,1,5,6,3,0,1,3,2,19,1,1
1,22017,201942,0021701204,"APR 09, 2018",TOR @ DET,W,28,6,12,0.5,2,5,0.4,2,2,1.0,1,2,3,7,0,0,1,2,16,14,1
2,22017,201942,0021701187,"APR 06, 2018",TOR vs. IND,W,28,5,17,0.294,0,2,0.0,2,3,0.667,1,4,5,8,2,1,3,0,12,32,1
3,22017,201942,0021701171,"APR 04, 2018",TOR vs. BOS,W,27,6,17,0.353,3,4,0.75,1,1,1.0,0,3,3,2,1,1,0,3,16,5,1
4,22017,201942,0021701156,"APR 03, 2018",TOR @ CLE,L,33,7,13,0.538,0,2,0.0,5,5,1.0,0,3,3,7,1,0,1,3,19,-10,1
5,22017,201942,0021701140,"MAR 31, 2018",TOR @ BOS,L,36,12,19,0.632,0,5,0.0,8,10,0.8,1,6,7,7,0,1,2,5,32,-8,1
6,22017,201942,0021701109,"MAR 27, 2018",TOR vs. DEN,W,30,7,12,0.583,1,3,0.333,0,0,0.0,0,1,1,8,2,0,2,2,15,1,1
7,22017,201942,0021701097,"MAR 25, 2018",TOR vs. LAC,L,34,3,12,0.25,0,1,0.0,5,5,1.0,0,2,2,7,0,0,3,2,11,-3,1
8,22017,201942,0021701082,"MAR 23, 2018",TOR vs. BKN,W,33,8,21,0.381,0,4,0.0,5,9,0.556,0,2,2,3,0,0,3,3,21,-2,1
9,22017,201942,0021701065,"MAR 21, 2018",TOR @ CLE,L,35,6,16,0.375,0,3,0.0,9,10,0.9,1,2,3,5,0,0,0,3,21,-10,1
10,22017,201942,0021701046,"MAR 18, 2018",TOR vs. OKC,L,33,8,18,0.444,3,6,0.5,5,7,0.714,0,3,3,5,0,0,1,2,24,-22,1
11,22017,201942,0021701031,"MAR 16, 2018",TOR vs. DAL,W,41,8,23,0.348,1,3,0.333,12,14,0.857,1,3,4,6,1,0,3,1,29,19,1
12,22017,201942,0021701020,"MAR 15, 2018",TOR @ IND,W,32,8,15,0.533,2,5,0.4,6,7,0.857,0,4,4,7,1,0,4,3,24,13,1
13,22017,201942,0021701008,"MAR 13, 2018",TOR @ BKN,W,33,6,12,0.5,1,2,0.5,2,2,1.0,1,6,7,2,1,0,4,0,15,2,1
14,22017,201942,0021700992,"MAR 11, 2018",TOR @ NYK,W,28,4,16,0.25,0,3,0.0,1,2,0.5,2,2,4,5,0,0,1,2,9,19,1
15,22017,201942,0021700979,"MAR 09, 2018",TOR vs. HOU,W,37,8,19,0.421,3,7,0.429,4,6,0.667,3,4,7,2,0,0,3,3,23,8,1
16,22017,201942,0021700966,"MAR 07, 2018",TOR @ DET,W,43,16,28,0.571,2,6,0.333,8,8,1.0,0,4,4,6,0,0,1,1,42,9,1
17,22017,201942,0021700958,"MAR 06, 2018",TOR vs. ATL,W,28,6,12,0.5,1,2,0.5,12,14,0.857,1,2,3,4,1,0,4,4,25,17,1
18,22017,201942,0021700944,"MAR 04, 2018",TOR vs. CHA,W,36,7,17,0.412,2,7,0.286,3,5,0.6,0,4,4,8,1,0,2,2,19,14,1
19,22017,201942,0021700929,"MAR 02, 2018",TOR @ WAS,W,34,9,17,0.529,0,3,0.0,5,7,0.714,1,3,4,4,3,0,0,0,23,-2,1
20,22017,201942,0021700914,"FEB 28, 2018",TOR @ ORL,W,34,6,13,0.462,0,3,0.0,9,11,0.818,0,3,3,4,1,0,1,2,21,11,2
21,22017,201942,0021700901,"FEB 26, 2018",TOR vs. DET,W,29,5,9,0.556,0,1,0.0,10,11,0.909,0,1,1,7,2,1,3,0,20,14,1
22,22017,201942,0021700876,"FEB 23, 2018",TOR vs. MIL,L,41,13,26,0.5,2,6,0.333,5,6,0.833,1,7,8,4,2,0,5,3,33,1,1
23,22017,201942,0021700859,"FEB 14, 2018",TOR @ CHI,W,28,3,11,0.273,0,3,0.0,1,1,1.0,1,1,2,8,0,0,0,1,7,8,1
24,22017,201942,0021700847,"FEB 13, 2018",TOR vs. MIA,W,35,11,25,0.44,1,7,0.143,4,6,0.667,1,1,2,4,1,0,3,2,27,10,1
25,22017,201942,0021700833,"FEB 11, 2018",TOR @ CHA,W,29,10,19,0.526,3,6,0.5,2,2,1.0,0,2,2,8,1,1,2,3,25,9,1
26,22017,201942,0021700812,"FEB 08, 2018",TOR vs. NYK,W,29,2,11,0.182,1,5,0.2,3,3,1.0,0,5,5,5,1,2,2,0,8,8,1
27,22017,201942,0021700798,"FEB 06, 2018",TOR vs. BOS,W,29,6,17,0.353,2,6,0.333,1,1,1.0,0,3,3,6,1,0,0,2,15,11,1
28,22017,201942,0021700787,"FEB 04, 2018",TOR vs. MEM,W,27,5,14,0.357,0,2,0.0,3,4,0.75,0,2,2,2,2,0,0,0,13,-14,1
29,22017,201942,0021700769,"FEB 02, 2018",TOR vs. POR,W,30,11,22,0.5,6,10,0.6,7,8,0.875,1,1,2,3,1,0,1,1,35,24,1
30,22017,201942,0021700762,"FEB 01, 2018",TOR @ WAS,L,38,7,17,0.412,0,3,0.0,9,10,0.9,1,4,5,6,2,1,2,3,23,2,1
31,22017,201942,0021700746,"JAN 30, 2018",TOR vs. MIN,W,37,6,18,0.333,1,6,0.167,10,11,0.909,1,3,4,8,1,0,1,1,23,1,1
32,22017,201942,0021700735,"JAN 28, 2018",TOR vs. LAL,W,30,7,18,0.389,1,6,0.167,4,5,0.8,0,1,1,7,0,0,3,3,19,8,1
33,22017,201942,0021700716,"JAN 26, 2018",TOR vs. UTA,L,37,7,22,0.318,0,1,0.0,5,7,0.714,3,3,6,8,2,0,2,1,19,-7,1
34,22017,201942,0021700705,"JAN 24, 2018",TOR @ ATL,W,27,4,12,0.333,1,2,0.5,5,6,0.833,1,2,3,4,1,0,3,1,14,11,1
35,22017,201942,0021700680,"JAN 20, 2018",TOR @ MIN,L,34,7,16,0.438,2,5,0.4,4,4,1.0,0,3,3,5,3,1,5,3,20,-3,2
