,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,203110,0021801215,"APR 09, 2019",GSW @ NOP,W,18,0,2,0.0,0,0,0.0,0,0,0.0,0,6,6,2,0,0,3,2,0,-1,1
1,22018,203110,0021801205,"APR 07, 2019",GSW vs. LAC,W,30,4,9,0.444,0,1,0.0,2,2,1.0,2,8,10,9,5,3,2,2,10,35,1
2,22018,203110,0021801191,"APR 05, 2019",GSW vs. CLE,W,36,8,14,0.571,3,7,0.429,1,1,1.0,0,8,8,5,1,1,3,2,20,5,1
3,22018,203110,0021801179,"APR 04, 2019",GSW @ LAL,W,29,5,8,0.625,2,3,0.667,0,0,0.0,2,2,4,6,1,2,2,1,12,32,1
4,22018,203110,0021801164,"APR 02, 2019",GSW vs. DEN,W,30,3,6,0.5,0,2,0.0,0,0,0.0,1,8,9,9,1,2,4,2,6,20,1
5,22018,203110,0021801150,"MAR 31, 2019",GSW vs. CHA,W,29,4,6,0.667,2,4,0.5,0,0,0.0,0,5,5,9,0,1,3,0,10,33,1
6,22018,203110,0021801132,"MAR 29, 2019",GSW @ MIN,L,42,3,7,0.429,0,2,0.0,3,4,0.75,4,6,10,5,4,0,1,2,9,5,1
7,22018,203110,0021801118,"MAR 27, 2019",GSW @ MEM,W,33,2,7,0.286,1,4,0.25,1,2,0.5,0,7,7,6,2,2,4,1,6,13,1
8,22018,203110,0021801101,"MAR 24, 2019",GSW vs. DET,W,35,5,11,0.455,1,3,0.333,3,4,0.75,3,2,5,8,0,0,3,5,14,14,1
9,22018,203110,0021801092,"MAR 23, 2019",GSW vs. DAL,L,25,2,4,0.5,1,2,0.5,1,2,0.5,0,3,3,2,1,0,2,2,6,-29,1
10,22018,203110,0021801079,"MAR 21, 2019",GSW vs. IND,W,29,4,5,0.8,1,1,1.0,1,1,1.0,0,7,7,5,0,0,2,1,10,24,1
11,22018,203110,0021801062,"MAR 19, 2019",GSW @ MIN,W,33,2,5,0.4,0,2,0.0,1,2,0.5,0,10,10,9,1,4,4,4,5,15,1
12,22018,203110,0021801055,"MAR 18, 2019",GSW @ SAS,L,36,4,8,0.5,2,4,0.5,0,2,0.0,0,3,3,7,1,3,3,2,10,2,1
13,22018,203110,0021801038,"MAR 16, 2019",GSW @ OKC,W,34,3,6,0.5,3,4,0.75,0,0,0.0,0,8,8,6,1,1,2,2,9,17,1
14,22018,203110,0021801018,"MAR 13, 2019",GSW @ HOU,W,37,1,5,0.2,0,2,0.0,0,0,0.0,0,5,5,5,1,1,4,3,2,-4,1
15,22018,203110,0021801000,"MAR 10, 2019",GSW vs. PHX,L,32,3,9,0.333,0,3,0.0,0,0,0.0,2,9,11,8,1,1,0,3,6,-4,1
16,22018,203110,0021800984,"MAR 08, 2019",GSW vs. DEN,W,36,1,4,0.25,0,2,0.0,2,4,0.5,0,10,10,5,2,0,3,4,4,24,1
17,22018,203110,0021800964,"MAR 05, 2019",GSW vs. BOS,L,25,2,3,0.667,1,2,0.5,0,0,0.0,2,4,6,5,1,1,2,4,5,-18,1
18,22018,203110,0021800938,"MAR 02, 2019",GSW @ PHI,W,35,2,4,0.5,0,0,0.0,2,2,1.0,0,9,9,10,3,0,3,4,6,0,1
19,22018,203110,0021800923,"FEB 28, 2019",GSW @ ORL,L,39,2,4,0.5,1,2,0.5,0,0,0.0,1,5,6,3,1,1,0,2,5,-12,1
20,22018,203110,0021800915,"FEB 27, 2019",GSW @ MIA,L,23,2,4,0.5,1,2,0.5,0,0,0.0,0,3,3,2,1,0,1,6,5,5,1
21,22018,203110,0021800897,"FEB 25, 2019",GSW @ CHA,W,34,6,8,0.75,1,3,0.333,1,1,1.0,2,6,8,10,1,3,6,2,14,6,1
