,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,1626157,0021801197,"APR 07, 2019",MIN vs. OKC,L,33,11,18,0.611,0,1,0.0,13,14,0.929,2,5,7,2,2,1,5,4,35,3,1
1,22018,1626157,0021801185,"APR 05, 2019",MIN vs. MIA,W,29,5,10,0.5,1,2,0.5,2,2,1.0,2,10,12,4,1,0,11,4,13,6,1
2,22018,1626157,0021801172,"APR 03, 2019",MIN @ DAL,W,37,12,15,0.8,0,0,0.0,4,6,0.667,3,10,13,3,0,3,1,2,28,7,1
3,22018,1626157,0021801157,"APR 01, 2019",MIN vs. POR,L,32,6,21,0.286,1,4,0.25,4,4,1.0,3,9,12,4,0,2,1,4,17,-6,1
4,22018,1626157,0021801143,"MAR 30, 2019",MIN vs. PHI,L,32,8,17,0.471,0,3,0.0,5,8,0.625,1,6,7,2,0,1,2,1,21,-16,1
5,22018,1626157,0021801132,"MAR 29, 2019",MIN vs. GSW,W,30,5,17,0.294,0,5,0.0,5,6,0.833,5,8,13,7,0,1,5,5,15,-8,1
6,22018,1626157,0021801112,"MAR 26, 2019",MIN vs. LAC,L,35,6,17,0.353,2,7,0.286,10,11,0.909,2,11,13,3,2,0,3,3,24,-12,1
7,22018,1626157,0021801091,"MAR 23, 2019",MIN @ MEM,W,33,12,20,0.6,4,7,0.571,5,5,1.0,4,19,23,3,1,1,5,5,33,12,1
8,22018,1626157,0021801074,"MAR 21, 2019",MIN @ CHA,L,34,7,17,0.412,2,4,0.5,5,6,0.833,3,13,16,6,1,2,4,3,21,-7,1
9,22018,1626157,0021801062,"MAR 19, 2019",MIN vs. GSW,L,35,10,16,0.625,2,3,0.667,4,6,0.667,8,13,21,4,1,0,7,5,26,3,1
10,22018,1626157,0021801048,"MAR 17, 2019",MIN @ HOU,L,29,8,22,0.364,2,5,0.4,4,5,0.8,4,6,10,6,0,2,4,4,22,-18,2
11,22018,1626157,0021801024,"MAR 14, 2019",MIN @ UTA,L,27,9,15,0.6,3,4,0.75,5,7,0.714,4,8,12,4,1,0,3,6,26,2,1
12,22018,1626157,0021801012,"MAR 12, 2019",MIN @ DEN,L,32,14,25,0.56,2,6,0.333,4,4,1.0,3,7,10,3,0,3,4,3,34,-15,1
13,22018,1626157,0021800988,"MAR 09, 2019",MIN vs. WAS,W,37,15,24,0.625,4,7,0.571,6,6,1.0,4,11,15,2,2,1,1,2,40,1,1
14,22018,1626157,0021800966,"MAR 06, 2019",MIN @ DET,L,29,7,14,0.5,3,6,0.5,7,7,1.0,1,3,4,2,0,2,6,6,24,-12,1
15,22018,1626157,0021800963,"MAR 05, 2019",MIN vs. OKC,W,30,15,27,0.556,3,5,0.6,8,10,0.8,6,8,14,1,2,0,0,4,41,9,1
16,22018,1626157,0021800950,"MAR 03, 2019",MIN @ WAS,L,36,12,18,0.667,2,6,0.333,2,2,1.0,3,7,10,7,1,1,4,4,28,-13,1
17,22018,1626157,0021800922,"FEB 28, 2019",MIN @ IND,L,34,15,29,0.517,3,8,0.375,9,13,0.692,6,11,17,4,0,0,4,5,42,-4,1
18,22018,1626157,0021800912,"FEB 27, 2019",MIN @ ATL,L,41,12,19,0.632,5,9,0.556,8,13,0.615,5,13,18,3,0,2,1,6,37,2,1
19,22018,1626157,0021800905,"FEB 25, 2019",MIN vs. SAC,W,31,13,18,0.722,3,6,0.5,5,7,0.714,2,19,21,5,0,2,4,5,34,12,1
20,22018,1626157,0021800861,"FEB 13, 2019",MIN vs. HOU,W,34,11,18,0.611,3,4,0.75,0,0,0.0,1,8,9,5,0,2,2,2,25,20,1
21,22018,1626157,0021800845,"FEB 11, 2019",MIN vs. LAC,W,27,7,11,0.636,0,1,0.0,10,12,0.833,5,5,10,2,2,0,5,5,24,20,1
22,22018,1626157,0021800823,"FEB 08, 2019",MIN @ NOP,L,33,12,20,0.6,4,5,0.8,4,4,1.0,1,7,8,3,1,2,4,2,32,-15,1
23,22018,1626157,0021800812,"FEB 07, 2019",MIN @ ORL,L,36,12,16,0.75,2,3,0.667,1,1,1.0,4,7,11,5,0,0,3,3,27,-9,1
24,22018,1626157,0021800801,"FEB 05, 2019",MIN @ MEM,L,35,8,14,0.571,0,2,0.0,10,10,1.0,5,13,18,3,0,1,4,4,26,-4,1
25,22018,1626157,0021800783,"FEB 02, 2019",MIN vs. DEN,L,37,12,19,0.632,2,5,0.4,5,9,0.556,3,9,12,7,2,1,3,3,31,2,1
26,22018,1626157,0021800760,"JAN 30, 2019",MIN vs. MEM,W,26,7,17,0.412,0,6,0.0,2,2,1.0,2,8,10,2,0,0,2,5,16,4,1
27,22018,1626157,0021800740,"JAN 27, 2019",MIN vs. UTA,L,36,6,10,0.6,3,4,0.75,7,8,0.875,1,5,6,7,0,3,2,2,22,-2,1
28,22018,1626157,0021800729,"JAN 25, 2019",MIN @ UTA,L,29,12,19,0.632,2,5,0.4,7,7,1.0,4,6,10,4,1,3,3,5,33,11,1
29,22018,1626157,0021800719,"JAN 24, 2019",MIN @ LAL,W,31,10,18,0.556,3,5,0.6,4,4,1.0,4,8,12,5,1,2,2,3,27,12,1
30,22018,1626157,0021800705,"JAN 22, 2019",MIN @ PHX,W,32,10,15,0.667,2,4,0.5,3,5,0.6,7,11,18,7,2,1,2,2,25,20,1
31,22018,1626157,0021800689,"JAN 20, 2019",MIN vs. PHX,W,39,8,22,0.364,1,5,0.2,13,13,1.0,7,5,12,4,4,1,4,2,30,1,1
32,22018,1626157,0021800674,"JAN 18, 2019",MIN vs. SAS,L,21,8,17,0.471,1,6,0.167,6,6,1.0,0,6,6,1,0,0,3,6,23,-10,1
