,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,202689,0021801222,"APR 10, 2019",CHA vs. ORL,L,40,16,25,0.64,4,9,0.444,7,7,1.0,0,2,2,5,0,2,2,1,43,0,1
1,22018,202689,0021801209,"APR 09, 2019",CHA @ CLE,W,27,9,18,0.5,4,10,0.4,1,2,0.5,0,3,3,7,0,0,2,2,23,9,1
2,22018,202689,0021801198,"APR 07, 2019",CHA @ DET,W,41,11,29,0.379,3,11,0.273,6,7,0.857,1,7,8,7,1,0,1,2,31,16,1
3,22018,202689,0021801180,"APR 05, 2019",CHA vs. TOR,W,36,11,18,0.611,4,8,0.5,3,3,1.0,0,6,6,8,0,0,0,1,29,0,1
4,22018,202689,0021801171,"APR 03, 2019",CHA @ NOP,W,35,9,17,0.529,2,5,0.4,12,13,0.923,0,3,3,7,2,0,4,0,32,3,1
5,22018,202689,0021801159,"APR 01, 2019",CHA @ UTA,L,37,15,28,0.536,4,8,0.5,13,15,0.867,0,5,5,3,0,0,3,1,47,-15,1
6,22018,202689,0021801150,"MAR 31, 2019",CHA @ GSW,L,25,4,14,0.286,1,4,0.25,0,0,0.0,1,0,1,3,2,0,1,0,9,-33,1
7,22018,202689,0021801135,"MAR 29, 2019",CHA @ LAL,L,38,9,18,0.5,1,7,0.143,5,5,1.0,1,1,2,6,1,0,4,1,24,-14,1
8,22018,202689,0021801107,"MAR 26, 2019",CHA vs. SAS,W,42,14,31,0.452,2,8,0.25,8,11,0.727,1,8,9,11,0,1,2,1,38,8,1
9,22018,202689,0021801098,"MAR 24, 2019",CHA @ TOR,W,35,3,17,0.176,2,7,0.286,7,7,1.0,3,5,8,13,4,0,1,2,15,-9,1
10,22018,202689,0021801087,"MAR 23, 2019",CHA vs. BOS,W,35,11,25,0.44,6,13,0.462,8,8,1.0,1,10,11,9,2,0,2,0,36,21,1
11,22018,202689,0021801074,"MAR 21, 2019",CHA vs. MIN,W,35,10,22,0.455,1,8,0.125,10,12,0.833,1,4,5,6,0,0,5,2,31,6,1
12,22018,202689,0021801059,"MAR 19, 2019",CHA vs. PHI,L,28,8,18,0.444,2,7,0.286,3,4,0.75,0,4,4,4,1,0,0,4,21,-11,1
13,22018,202689,0021801045,"MAR 17, 2019",CHA @ MIA,L,36,4,16,0.25,2,8,0.25,0,0,0.0,1,3,4,4,1,0,3,1,10,-13,2
14,22018,202689,0021801028,"MAR 15, 2019",CHA @ WAS,W,36,11,30,0.367,3,8,0.375,3,3,1.0,2,3,5,4,3,1,3,3,28,1,1
15,22018,202689,0021801004,"MAR 11, 2019",CHA @ HOU,L,40,14,20,0.7,6,6,1.0,6,7,0.857,1,9,10,7,0,1,4,1,40,-5,1
16,22018,202689,0021800990,"MAR 09, 2019",CHA @ MIL,L,31,11,22,0.5,3,8,0.375,0,2,0.0,1,2,3,4,0,1,3,5,25,-9,1
17,22018,202689,0021800977,"MAR 08, 2019",CHA vs. WAS,W,36,6,19,0.316,1,9,0.111,5,6,0.833,2,2,4,6,2,1,3,2,18,6,1
18,22018,202689,0021800965,"MAR 06, 2019",CHA vs. MIA,L,37,5,17,0.294,3,10,0.3,7,7,1.0,0,2,2,7,0,0,4,1,20,-2,1
19,22018,202689,0021800944,"MAR 03, 2019",CHA vs. POR,L,39,5,21,0.238,2,9,0.222,6,6,1.0,0,0,0,12,0,0,4,1,18,-14,1
20,22018,202689,0021800929,"MAR 01, 2019",CHA @ BKN,W,38,12,20,0.6,1,2,0.5,0,0,0.0,2,2,4,7,4,0,3,3,25,24,1
21,22018,202689,0021800911,"FEB 27, 2019",CHA vs. HOU,L,37,12,22,0.545,4,11,0.364,7,8,0.875,0,4,4,4,5,0,6,5,35,14,1
22,22018,202689,0021800897,"FEB 25, 2019",CHA vs. GSW,L,41,9,24,0.375,3,12,0.25,2,2,1.0,1,2,3,6,0,0,5,0,23,1,1
23,22018,202689,0021800884,"FEB 23, 2019",CHA vs. BKN,L,40,12,28,0.429,6,15,0.4,2,2,1.0,0,1,1,3,2,0,1,1,32,-5,1
24,22018,202689,0021800873,"FEB 22, 2019",CHA vs. WAS,W,36,9,25,0.36,3,11,0.273,6,8,0.75,1,4,5,11,0,0,2,2,27,16,1
25,22018,202689,0021800864,"FEB 14, 2019",CHA @ ORL,L,28,4,20,0.2,0,7,0.0,2,3,0.667,0,2,2,3,2,0,0,1,10,-25,1
26,22018,202689,0021800841,"FEB 11, 2019",CHA @ IND,L,39,10,23,0.435,4,12,0.333,10,12,0.833,1,8,9,3,2,0,3,1,34,11,1
27,22018,202689,0021800827,"FEB 09, 2019",CHA @ ATL,W,37,13,27,0.481,9,17,0.529,2,2,1.0,1,0,1,7,1,0,3,2,37,15,1
28,22018,202689,0021800807,"FEB 06, 2019",CHA @ DAL,L,37,10,22,0.455,4,11,0.364,6,6,1.0,2,9,11,6,2,0,4,2,30,0,1
29,22018,202689,0021800796,"FEB 05, 2019",CHA vs. LAC,L,39,11,23,0.478,5,10,0.5,5,5,1.0,1,4,5,9,3,0,0,1,32,3,1
30,22018,202689,0021800776,"FEB 02, 2019",CHA vs. CHI,W,37,10,23,0.435,4,9,0.444,13,14,0.929,1,5,6,10,1,0,0,3,37,14,1
31,22018,202689,0021800770,"FEB 01, 2019",CHA vs. MEM,W,37,7,17,0.412,4,9,0.444,5,6,0.833,0,3,3,4,0,0,6,0,23,8,1
32,22018,202689,0021800756,"JAN 30, 2019",CHA @ BOS,L,27,9,20,0.45,2,7,0.286,1,1,1.0,0,1,1,2,1,1,1,0,21,-18,1
33,22018,202689,0021800744,"JAN 28, 2019",CHA vs. NYK,W,36,5,16,0.313,2,6,0.333,2,2,1.0,0,5,5,5,0,2,1,2,14,-1,1
34,22018,202689,0021800727,"JAN 25, 2019",CHA @ MIL,L,35,3,12,0.25,1,5,0.2,3,3,1.0,1,6,7,5,0,2,4,2,10,-7,1
35,22018,202689,0021800713,"JAN 23, 2019",CHA @ MEM,W,39,9,17,0.529,3,7,0.429,1,2,0.5,1,1,2,7,4,0,1,1,22,8,1
36,22018,202689,0021800688,"JAN 20, 2019",CHA @ IND,L,37,8,18,0.444,3,9,0.333,4,5,0.8,0,4,4,7,1,1,3,2,23,-24,1
37,22018,202689,0021800679,"JAN 19, 2019",CHA vs. PHX,W,33,9,22,0.409,3,10,0.3,0,0,0.0,1,7,8,3,2,1,5,1,21,30,1
