,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,201567,0021801196,"APR 07, 2019",CLE vs. SAS,L,13,2,4,0.5,1,3,0.333,0,0,0.0,0,4,4,2,1,0,0,0,5,-5,1
1,22018,201567,0021801129,"MAR 28, 2019",CLE @ SAS,L,35,7,13,0.538,2,4,0.5,2,2,1.0,0,8,8,1,0,0,2,3,18,-13,1
2,22018,201567,0021801108,"MAR 26, 2019",CLE vs. BOS,L,29,3,13,0.231,0,5,0.0,4,4,1.0,1,10,11,4,1,0,5,2,10,-18,1
3,22018,201567,0021801096,"MAR 24, 2019",CLE @ MIL,L,32,8,21,0.381,4,11,0.364,0,0,0.0,5,14,19,3,0,1,1,1,20,-11,1
4,22018,201567,0021801081,"MAR 22, 2019",CLE vs. LAC,L,33,8,14,0.571,4,7,0.571,2,3,0.667,0,8,8,1,0,0,2,3,22,-7,1
5,22018,201567,0021801065,"MAR 20, 2019",CLE vs. MIL,W,18,1,10,0.1,1,9,0.111,3,3,1.0,0,10,10,0,0,0,1,1,6,0,1
6,22018,201567,0021801037,"MAR 16, 2019",CLE @ DAL,L,32,6,15,0.4,2,9,0.222,8,8,1.0,0,12,12,4,0,0,0,1,22,7,1
7,22018,201567,0021801021,"MAR 14, 2019",CLE @ ORL,L,24,3,9,0.333,1,3,0.333,3,3,1.0,0,8,8,1,0,1,4,5,10,-26,1
8,22018,201567,0021801001,"MAR 11, 2019",CLE vs. TOR,W,29,4,11,0.364,3,7,0.429,5,6,0.833,4,14,18,2,0,0,3,2,16,16,1
9,22018,201567,0021800979,"MAR 08, 2019",CLE @ MIA,L,31,7,17,0.412,4,11,0.364,1,1,1.0,0,4,4,3,1,0,0,5,19,-14,1
10,22018,201567,0021800969,"MAR 06, 2019",CLE @ BKN,L,31,5,11,0.455,4,8,0.5,10,11,0.909,3,13,16,4,1,0,1,2,24,2,1
11,22018,201567,0021800948,"MAR 03, 2019",CLE vs. ORL,W,29,3,11,0.273,3,8,0.375,7,8,0.875,4,10,14,2,0,0,0,2,16,6,1
12,22018,201567,0021800924,"FEB 28, 2019",CLE @ NYK,W,28,6,12,0.5,3,6,0.5,11,11,1.0,1,7,8,3,0,1,1,2,26,17,1
13,22018,201567,0021800898,"FEB 25, 2019",CLE vs. POR,L,28,5,14,0.357,3,6,0.5,5,5,1.0,3,9,12,1,0,0,2,2,18,-10,1
14,22018,201567,0021800885,"FEB 23, 2019",CLE vs. MEM,W,26,9,15,0.6,6,9,0.667,8,8,1.0,1,11,12,0,1,1,3,4,32,14,1
