,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,200768,0021801195,"APR 07, 2019",TOR vs. MIA,W,42,1,8,0.125,0,5,0.0,3,4,0.75,0,9,9,5,3,0,2,2,5,7,1
1,22018,200768,0021801180,"APR 05, 2019",TOR @ CHA,L,36,6,13,0.462,2,8,0.25,2,2,1.0,0,5,5,11,0,0,3,4,16,15,1
2,22018,200768,0021801169,"APR 03, 2019",TOR @ BKN,W,33,3,11,0.273,2,7,0.286,2,2,1.0,2,3,5,4,0,0,0,1,10,12,1
3,22018,200768,0021801156,"APR 01, 2019",TOR vs. ORL,W,27,3,6,0.5,3,6,0.5,3,4,0.75,1,5,6,7,3,1,0,3,12,19,1
4,22018,200768,0021801142,"MAR 30, 2019",TOR @ CHI,W,28,2,10,0.2,1,5,0.2,5,6,0.833,1,6,7,8,4,0,3,3,10,8,1
5,22018,200768,0021801125,"MAR 28, 2019",TOR @ NYK,W,25,3,10,0.3,1,7,0.143,0,0,0.0,0,4,4,2,2,0,2,3,7,13,1
6,22018,200768,0021801110,"MAR 26, 2019",TOR vs. CHI,W,21,5,9,0.556,4,7,0.571,0,0,0.0,0,2,2,6,1,0,5,0,14,14,1
7,22018,200768,0021801098,"MAR 24, 2019",TOR vs. CHA,L,28,3,5,0.6,1,3,0.333,0,0,0.0,0,2,2,6,1,1,3,1,7,-8,1
8,22018,200768,0021801053,"MAR 18, 2019",TOR vs. NYK,W,26,5,12,0.417,5,9,0.556,0,1,0.0,0,6,6,8,0,0,2,0,15,33,1
9,22018,200768,0021801001,"MAR 11, 2019",TOR @ CLE,L,30,5,8,0.625,4,7,0.571,0,0,0.0,0,5,5,6,1,1,3,4,14,-14,1
10,22018,200768,0021800993,"MAR 10, 2019",TOR @ MIA,W,35,8,14,0.571,6,11,0.545,2,3,0.667,1,6,7,10,0,0,6,2,24,31,1
11,22018,200768,0021800983,"MAR 08, 2019",TOR @ NOP,W,34,4,12,0.333,3,9,0.333,2,2,1.0,1,10,11,12,2,0,1,0,13,11,1
12,22018,200768,0021800961,"MAR 05, 2019",TOR vs. HOU,L,42,4,16,0.25,0,5,0.0,0,0,0.0,2,4,6,6,0,0,5,3,8,-5,1
13,22018,200768,0021800949,"MAR 03, 2019",TOR @ DET,L,42,11,24,0.458,6,14,0.429,7,9,0.778,1,6,7,5,1,0,3,3,35,2,1
