,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,202681,0021801203,"APR 07, 2019",BOS vs. ORL,L,35,9,19,0.474,4,6,0.667,1,1,1.0,1,4,5,6,1,1,3,2,23,-6,1
1,22018,202681,0021801183,"APR 05, 2019",BOS @ IND,W,27,7,14,0.5,1,3,0.333,2,2,1.0,0,3,3,6,0,0,0,2,17,10,1
2,22018,202681,0021801170,"APR 03, 2019",BOS @ MIA,W,32,8,19,0.421,3,9,0.333,4,5,0.8,0,1,1,4,1,0,2,5,23,4,1
3,22018,202681,0021801153,"APR 01, 2019",BOS vs. MIA,W,33,7,19,0.368,5,11,0.455,6,6,1.0,1,7,8,3,2,0,6,4,25,17,1
4,22018,202681,0021801130,"MAR 29, 2019",BOS vs. IND,W,35,11,22,0.5,3,8,0.375,5,5,1.0,0,2,2,5,3,0,1,3,30,15,1
5,22018,202681,0021801100,"MAR 24, 2019",BOS vs. SAS,L,34,5,17,0.294,1,5,0.2,0,0,0.0,0,2,2,12,2,1,1,3,11,-14,1
6,22018,202681,0021801087,"MAR 23, 2019",BOS @ CHA,L,35,12,23,0.522,4,11,0.364,3,4,0.75,0,7,7,6,2,0,3,5,31,-10,1
7,22018,202681,0021801067,"MAR 20, 2019",BOS @ PHI,L,36,12,29,0.414,3,13,0.231,9,11,0.818,2,7,9,4,0,1,3,2,36,-6,1
8,22018,202681,0021801052,"MAR 18, 2019",BOS vs. DEN,L,36,10,23,0.435,2,8,0.25,8,8,1.0,1,4,5,4,4,1,1,1,30,-2,1
9,22018,202681,0021801034,"MAR 16, 2019",BOS vs. ATL,W,36,12,24,0.5,4,10,0.4,2,3,0.667,2,9,11,9,1,2,3,2,30,13,2
10,22018,202681,0021801022,"MAR 14, 2019",BOS vs. SAC,W,38,11,28,0.393,1,9,0.111,8,9,0.889,3,7,10,12,1,1,2,2,31,3,1
11,22018,202681,0021801006,"MAR 11, 2019",BOS @ LAC,L,34,8,17,0.471,2,7,0.286,0,0,0.0,0,2,2,11,1,0,4,4,18,-21,1
12,22018,202681,0021800989,"MAR 09, 2019",BOS @ LAL,W,35,12,18,0.667,5,8,0.625,1,1,1.0,1,6,7,5,2,2,1,2,30,14,1
13,22018,202681,0021800964,"MAR 05, 2019",BOS @ GSW,W,30,7,15,0.467,2,5,0.4,3,4,0.75,1,4,5,11,2,0,3,3,19,20,1
14,22018,202681,0021800945,"MAR 03, 2019",BOS vs. HOU,L,36,7,11,0.636,3,5,0.6,7,8,0.875,0,9,9,6,0,0,4,3,24,-17,1
15,22018,202681,0021800931,"MAR 01, 2019",BOS vs. WAS,W,33,6,15,0.4,1,3,0.333,0,0,0.0,0,6,6,12,0,0,1,5,13,11,1
16,22018,202681,0021800913,"FEB 27, 2019",BOS vs. POR,L,35,14,24,0.583,3,5,0.6,0,0,0.0,1,4,5,3,0,1,4,3,31,-10,1
17,22018,202681,0021800909,"FEB 26, 2019",BOS @ TOR,L,28,3,10,0.3,1,3,0.333,0,0,0.0,1,3,4,5,1,0,1,2,7,-10,1
