,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,201566,0021801226,"APR 10, 2019",OKC @ MIL,W,36,7,10,0.7,1,3,0.333,0,2,0.0,0,11,11,17,1,1,4,3,15,6,1
1,22018,201566,0021801218,"APR 09, 2019",OKC vs. HOU,W,37,11,23,0.478,4,10,0.4,3,3,1.0,2,10,12,10,0,0,3,4,29,3,1
2,22018,201566,0021801197,"APR 07, 2019",OKC @ MIN,W,38,10,22,0.455,2,6,0.333,5,7,0.714,1,9,10,15,1,0,4,3,27,-1,1
3,22018,201566,0021801186,"APR 05, 2019",OKC vs. DET,W,35,6,18,0.333,1,4,0.25,6,10,0.6,1,7,8,15,1,0,4,2,19,4,1
4,22018,201566,0021801161,"APR 02, 2019",OKC vs. LAL,W,37,8,23,0.348,2,9,0.222,2,3,0.667,5,15,20,21,3,0,2,2,20,24,1
5,22018,201566,0021801146,"MAR 31, 2019",OKC vs. DAL,L,38,9,19,0.474,3,8,0.375,4,4,1.0,2,9,11,11,2,0,3,2,25,-3,1
6,22018,201566,0021801133,"MAR 29, 2019",OKC vs. DEN,L,36,11,22,0.5,1,5,0.2,4,5,0.8,3,6,9,9,2,0,3,3,27,-1,1
7,22018,201566,0021801119,"MAR 27, 2019",OKC vs. IND,W,37,6,15,0.4,2,4,0.5,3,4,0.75,1,10,11,12,2,1,2,0,17,8,1
8,22018,201566,0021801104,"MAR 25, 2019",OKC @ MEM,L,37,6,20,0.3,1,6,0.167,3,6,0.5,0,5,5,7,0,0,1,3,16,-20,1
9,22018,201566,0021801083,"MAR 22, 2019",OKC @ TOR,W,37,6,20,0.3,2,9,0.222,4,5,0.8,4,8,12,13,4,1,3,3,18,18,1
10,22018,201566,0021801072,"MAR 20, 2019",OKC vs. TOR,L,44,16,29,0.552,5,10,0.5,5,8,0.625,2,9,11,6,1,0,9,3,42,-7,1
11,22018,201566,0021801038,"MAR 16, 2019",OKC vs. GSW,L,32,2,16,0.125,0,7,0.0,3,4,0.75,0,8,8,9,1,1,4,5,7,-18,1
12,22018,201566,0021801020,"MAR 14, 2019",OKC @ IND,L,38,8,18,0.444,1,5,0.2,2,2,1.0,1,13,14,11,4,2,4,2,19,-1,1
13,22018,201566,0021801017,"MAR 13, 2019",OKC vs. BKN,W,36,12,23,0.522,4,8,0.5,3,5,0.6,3,9,12,11,3,0,5,3,31,18,1
14,22018,201566,0021801005,"MAR 11, 2019",OKC @ UTA,W,37,9,19,0.474,2,4,0.5,3,6,0.5,0,11,11,8,1,1,3,2,23,10,1
