,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,202699,0021801212,"APR 09, 2019",PHI @ MIA,L,20,3,16,0.188,0,6,0.0,0,0,0.0,2,7,9,2,0,0,0,0,6,-15,1
1,22018,202699,0021801194,"APR 06, 2019",PHI @ CHI,W,32,6,14,0.429,0,2,0.0,4,6,0.667,1,5,6,5,0,0,3,0,16,7,1
2,22018,202699,0021801177,"APR 04, 2019",PHI vs. MIL,L,30,6,15,0.4,1,3,0.333,0,0,0.0,0,9,9,3,0,1,2,5,13,-12,1
3,22018,202699,0021801168,"APR 03, 2019",PHI @ ATL,L,37,6,14,0.429,2,5,0.4,7,7,1.0,4,3,7,2,0,0,2,5,21,0,1
4,22018,202699,0021801158,"APR 01, 2019",PHI @ DAL,L,34,10,19,0.526,1,6,0.167,4,5,0.8,0,6,6,3,0,1,2,1,25,-8,1
5,22018,202699,0021801143,"MAR 30, 2019",PHI @ MIN,W,39,9,20,0.45,3,8,0.375,4,5,0.8,1,6,7,4,0,0,0,3,25,4,1
6,22018,202699,0021801123,"MAR 28, 2019",PHI vs. BKN,W,35,3,8,0.375,0,2,0.0,0,0,0.0,2,8,10,4,1,0,1,1,6,9,1
7,22018,202699,0021801103,"MAR 25, 2019",PHI @ ORL,L,34,5,10,0.5,0,2,0.0,5,6,0.833,0,4,4,3,1,0,2,4,15,-22,1
8,22018,202699,0021801088,"MAR 23, 2019",PHI @ ATL,L,37,6,17,0.353,1,4,0.25,0,1,0.0,4,5,9,2,0,1,2,2,13,-11,1
9,22018,202699,0021801067,"MAR 20, 2019",PHI vs. BOS,W,37,7,17,0.412,2,5,0.4,5,6,0.833,3,5,8,3,0,0,1,2,21,5,1
10,22018,202699,0021801059,"MAR 19, 2019",PHI @ CHA,W,39,8,17,0.471,1,5,0.2,5,6,0.833,1,10,11,3,1,0,2,3,22,13,1
11,22018,202699,0021801043,"MAR 17, 2019",PHI @ MIL,W,34,4,7,0.571,1,2,0.5,3,4,0.75,1,6,7,4,1,0,0,0,12,5,2
12,22018,202699,0021801027,"MAR 15, 2019",PHI vs. SAC,W,35,7,16,0.438,1,5,0.2,4,4,1.0,1,6,7,4,1,1,1,1,19,19,1
13,22018,202699,0021801008,"MAR 12, 2019",PHI vs. CLE,W,39,5,12,0.417,1,5,0.2,0,0,0.0,0,9,9,3,0,0,4,4,11,4,1
14,22018,202699,0021800994,"MAR 10, 2019",PHI vs. IND,W,35,7,16,0.438,2,5,0.4,0,0,0.0,1,7,8,4,1,1,2,2,16,-3,1
15,22018,202699,0021800981,"MAR 08, 2019",PHI @ HOU,L,34,10,15,0.667,2,4,0.5,0,0,0.0,1,8,9,0,0,0,0,1,22,-20,1
16,22018,202699,0021800970,"MAR 06, 2019",PHI @ CHI,L,36,5,13,0.385,1,2,0.5,2,2,1.0,3,1,4,1,0,0,3,2,13,-5,1
17,22018,202699,0021800960,"MAR 05, 2019",PHI vs. ORL,W,34,8,15,0.533,1,3,0.333,4,4,1.0,1,11,12,5,2,1,2,2,21,15,1
18,22018,202699,0021800938,"MAR 02, 2019",PHI vs. GSW,L,44,7,20,0.35,3,11,0.273,3,3,1.0,1,8,9,3,0,0,4,4,20,-4,1
19,22018,202699,0021800927,"FEB 28, 2019",PHI @ OKC,W,40,11,19,0.579,5,7,0.714,5,5,1.0,0,5,5,3,1,1,1,2,32,6,1
20,22018,202699,0021800906,"FEB 25, 2019",PHI @ NOP,W,39,10,16,0.625,2,8,0.25,7,8,0.875,1,9,10,3,0,2,2,0,29,-1,1
21,22018,202699,0021800882,"FEB 23, 2019",PHI vs. POR,L,35,8,14,0.571,3,7,0.429,1,1,1.0,0,8,8,0,1,1,2,3,20,-23,1
