,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22018,203897,0021801057,"MAR 18, 2019",CHI @ PHX,W,33,5,10,0.5,2,4,0.5,5,5,1.0,0,8,8,7,1,0,7,3,17,12,1
1,22018,203897,0021801047,"MAR 17, 2019",CHI @ SAC,L,29,7,18,0.389,2,3,0.667,2,3,0.667,2,1,3,3,3,1,2,3,18,-20,1
2,22018,203897,0021801033,"MAR 15, 2019",CHI @ LAC,L,38,9,19,0.474,3,7,0.429,10,13,0.769,1,6,7,7,0,0,4,2,31,-6,2
3,22018,203897,0021800980,"MAR 08, 2019",CHI vs. DET,L,38,9,18,0.5,1,3,0.333,5,10,0.5,1,5,6,2,1,1,5,3,24,-1,1
4,22018,203897,0021800970,"MAR 06, 2019",CHI vs. PHI,W,36,14,26,0.538,2,5,0.4,9,13,0.692,3,2,5,4,1,0,2,1,39,6,1
5,22018,203897,0021800959,"MAR 05, 2019",CHI @ IND,L,37,10,22,0.455,2,6,0.333,5,7,0.714,0,2,2,3,0,0,3,3,27,-4,1
6,22018,203897,0021800946,"MAR 03, 2019",CHI vs. ATL,L,28,3,9,0.333,0,2,0.0,6,7,0.857,0,2,2,2,1,1,4,1,12,-2,1
7,22018,203897,0021800928,"MAR 01, 2019",CHI @ ATL,W,56,17,35,0.486,6,14,0.429,7,11,0.636,2,7,9,9,2,0,8,3,47,5,1
8,22018,203897,0021800916,"FEB 27, 2019",CHI @ MEM,W,35,12,19,0.632,2,4,0.5,4,4,1.0,1,4,5,4,1,1,3,1,30,2,1
9,22018,203897,0021800902,"FEB 25, 2019",CHI vs. MIL,L,36,4,13,0.308,2,4,0.5,1,3,0.333,0,8,8,9,0,2,2,1,11,-7,1
10,22018,203897,0021800889,"FEB 23, 2019",CHI vs. BOS,W,39,17,29,0.586,5,11,0.455,3,3,1.0,1,5,6,4,0,0,5,5,42,3,1
11,22018,203897,0021800875,"FEB 22, 2019",CHI @ ORL,W,33,6,14,0.429,5,6,0.833,5,5,1.0,1,3,4,6,2,0,2,1,22,3,1
12,22018,203897,0021800858,"FEB 13, 2019",CHI vs. MEM,W,34,5,10,0.5,1,3,0.333,4,4,1.0,1,5,6,7,0,0,4,2,15,25,1
13,22018,203897,0021800843,"FEB 11, 2019",CHI vs. MIL,L,36,9,19,0.474,4,6,0.667,5,5,1.0,0,5,5,7,1,1,2,4,27,0,1
14,22018,203897,0021800830,"FEB 09, 2019",CHI vs. WAS,L,36,11,17,0.647,0,3,0.0,4,5,0.8,1,3,4,6,1,0,3,1,26,-12,1
15,22018,203897,0021800820,"FEB 08, 2019",CHI @ BKN,W,37,10,17,0.588,1,2,0.5,5,7,0.714,1,2,3,5,2,0,1,1,26,12,1
16,22018,203897,0021800805,"FEB 06, 2019",CHI vs. NOP,L,33,10,21,0.476,3,8,0.375,5,8,0.625,2,6,8,7,0,2,1,1,28,-11,1
17,22018,203897,0021800776,"FEB 02, 2019",CHI @ CHA,L,31,7,12,0.583,1,2,0.5,3,3,1.0,0,5,5,3,0,0,1,1,18,-11,1
